Cohort Year,Division Number,Division Name,Type of Graduation Rate,Rate Type,Graduation Rate
2021,135,Franklin City,On-Time Graduation Rate,4 yr rate,    89.77%
2021,33,Franklin County,On-Time Graduation Rate,4 yr rate,    92.89%
2021,34,Frederick County,On-Time Graduation Rate,4 yr rate,    93.68%
2021,110,Fredericksburg City,On-Time Graduation Rate,4 yr rate,    85.04%
2021,111,Galax City,On-Time Graduation Rate,4 yr rate,    87.34%
2021,35,Giles County,On-Time Graduation Rate,4 yr rate,    94.06%
2021,36,Gloucester County,On-Time Graduation Rate,4 yr rate,    93.26%
2021,37,Goochland County,On-Time Graduation Rate,4 yr rate,    97.20%
2021,38,Grayson County,On-Time Graduation Rate,4 yr rate,    99.23%
2021,39,Greene County,On-Time Graduation Rate,4 yr rate,    93.48%
2021,40,Greensville County,On-Time Graduation Rate,4 yr rate,    91.06%
2021,41,Halifax County,On-Time Graduation Rate,4 yr rate,    89.61%
2021,112,Hampton City,On-Time Graduation Rate,4 yr rate,    96.86%
2021,42,Hanover County,On-Time Graduation Rate,4 yr rate,    95.38%
2021,113,Harrisonburg City,On-Time Graduation Rate,4 yr rate,    88.44%
2021,43,Henrico County,On-Time Graduation Rate,4 yr rate,    90.54%
2021,44,Henry County,On-Time Graduation Rate,4 yr rate,    91.18%
2021,45,Highland County,On-Time Graduation Rate,4 yr rate,    86.36%
2021,114,Hopewell City,On-Time Graduation Rate,4 yr rate,    84.89%
2021,46,Isle of Wight County,On-Time Graduation Rate,4 yr rate,    95.46%
2021,48,King George County,On-Time Graduation Rate,4 yr rate,    92.62%
2021,50,King William County,On-Time Graduation Rate,4 yr rate,    90.37%
2021,49,King and Queen County,On-Time Graduation Rate,4 yr rate,    90.63%
2021,51,Lancaster County,On-Time Graduation Rate,4 yr rate,    89.36%
2021,52,Lee County,On-Time Graduation Rate,4 yr rate,    88.16%
2021,53,Loudoun County,On-Time Graduation Rate,4 yr rate,    97.61%
2021,54,Louisa County,On-Time Graduation Rate,4 yr rate,    93.52%
2021,55,Lunenburg County,On-Time Graduation Rate,4 yr rate,    91.51%
2021,115,Lynchburg City,On-Time Graduation Rate,4 yr rate,    85.76%
2021,56,Madison County,On-Time Graduation Rate,4 yr rate,    97.39%
2021,143,Manassas City,On-Time Graduation Rate,4 yr rate,    81.60%
2021,144,Manassas Park City,On-Time Graduation Rate,4 yr rate,    89.81%
2021,116,Martinsville City,On-Time Graduation Rate,4 yr rate,    94.56%
2021,57,Mathews County,On-Time Graduation Rate,4 yr rate,    88.06%
2021,58,Mecklenburg County,On-Time Graduation Rate,4 yr rate,    91.82%
2021,59,Middlesex County,On-Time Graduation Rate,4 yr rate,    92.00%
2021,60,Montgomery County,On-Time Graduation Rate,4 yr rate,    95.15%
2021,62,Nelson County,On-Time Graduation Rate,4 yr rate,    92.41%
2021,63,New Kent County,On-Time Graduation Rate,4 yr rate,    94.76%
2021,117,Newport News City,On-Time Graduation Rate,4 yr rate,    94.66%
2021,118,Norfolk City,On-Time Graduation Rate,4 yr rate,    85.72%
2021,65,Northampton County,On-Time Graduation Rate,4 yr rate,    89.62%
2021,66,Northumberland County,On-Time Graduation Rate,4 yr rate,    96.43%
2021,119,Norton City,On-Time Graduation Rate,4 yr rate,    96.83%
2021,67,Nottoway County,On-Time Graduation Rate,4 yr rate,    84.62%
2021,68,Orange County,On-Time Graduation Rate,4 yr rate,    90.58%
2021,69,Page County,On-Time Graduation Rate,4 yr rate,    96.70%
2021,70,Patrick County,On-Time Graduation Rate,4 yr rate,    96.77%
2021,120,Petersburg City,On-Time Graduation Rate,4 yr rate,    86.64%
2021,71,Pittsylvania County,On-Time Graduation Rate,4 yr rate,    92.09%
2021,142,Poquoson City,On-Time Graduation Rate,4 yr rate,    96.13%
2021,121,Portsmouth City,On-Time Graduation Rate,4 yr rate,    84.20%
2021,72,Powhatan County,On-Time Graduation Rate,4 yr rate,    92.29%
2021,73,Prince Edward County,On-Time Graduation Rate,4 yr rate,    74.17%
2021,74,Prince George County,On-Time Graduation Rate,4 yr rate,    91.08%
2021,75,Prince William County,On-Time Graduation Rate,4 yr rate,    92.83%
2021,77,Pulaski County,On-Time Graduation Rate,4 yr rate,    95.44%
2021,122,Radford City,On-Time Graduation Rate,4 yr rate,    96.75%
2021,78,Rappahannock County,On-Time Graduation Rate,4 yr rate,    91.23%
2021,123,Richmond City,On-Time Graduation Rate,4 yr rate,    78.50%
2021,79,Richmond County,On-Time Graduation Rate,4 yr rate,    97.59%
2021,124,Roanoke City,On-Time Graduation Rate,4 yr rate,    89.26%
2021,80,Roanoke County,On-Time Graduation Rate,4 yr rate,    95.28%
2021,81,Rockbridge County,On-Time Graduation Rate,4 yr rate,    88.33%
2021,82,Rockingham County,On-Time Graduation Rate,4 yr rate,    92.98%
2021,83,Russell County,On-Time Graduation Rate,4 yr rate,    90.29%
2021,139,Salem City,On-Time Graduation Rate,4 yr rate,    96.25%
2021,84,Scott County,On-Time Graduation Rate,4 yr rate,    93.65%
2021,85,Shenandoah County,On-Time Graduation Rate,4 yr rate,    97.92%
2021,86,Smyth County,On-Time Graduation Rate,4 yr rate,    96.66%
2021,87,Southampton County,On-Time Graduation Rate,4 yr rate,    93.46%
2021,88,Spotsylvania County,On-Time Graduation Rate,4 yr rate,    90.25%
2021,89,Stafford County,On-Time Graduation Rate,4 yr rate,    94.69%
2021,126,Staunton City,On-Time Graduation Rate,4 yr rate,    85.63%
2021,127,Suffolk City,On-Time Graduation Rate,4 yr rate,    86.12%
2021,90,Surry County,On-Time Graduation Rate,4 yr rate,    95.74%
2021,91,Sussex County,On-Time Graduation Rate,4 yr rate,    84.21%
2021,92,Tazewell County,On-Time Graduation Rate,4 yr rate,    92.25%
2021,128,Virginia Beach City,On-Time Graduation Rate,4 yr rate,    94.84%
2021,93,Warren County,On-Time Graduation Rate,4 yr rate,    95.94%
2021,94,Washington County,On-Time Graduation Rate,4 yr rate,    93.60%
2021,130,Waynesboro City,On-Time Graduation Rate,4 yr rate,    91.07%
2021,207,West Point,On-Time Graduation Rate,4 yr rate,    98.36%
2021,95,Westmoreland County,On-Time Graduation Rate,4 yr rate,    94.21%
2021,131,Williamsburg-James City County,On-Time Graduation Rate,4 yr rate,    94.12%
2021,132,Winchester City,On-Time Graduation Rate,4 yr rate,    91.12%
2021,96,Wise County,On-Time Graduation Rate,4 yr rate,    98.40%
2021,97,Wythe County,On-Time Graduation Rate,4 yr rate,    93.71%
2021,98,York County,On-Time Graduation Rate,4 yr rate,    97.62%
2022,1,Accomack County,On-Time Graduation Rate,4 yr rate,    84.37%
2022,2,Albemarle County,On-Time Graduation Rate,4 yr rate,    94.30%
2022,101,Alexandria City,On-Time Graduation Rate,4 yr rate,    83.28%
2022,3,Alleghany County,On-Time Graduation Rate,4 yr rate,    87.58%
2022,4,Amelia County,On-Time Graduation Rate,4 yr rate,    97.39%
2022,5,Amherst County,On-Time Graduation Rate,4 yr rate,    93.31%
2022,6,Appomattox County,On-Time Graduation Rate,4 yr rate,    91.15%
2022,7,Arlington County,On-Time Graduation Rate,4 yr rate,    93.42%
2022,8,Augusta County,On-Time Graduation Rate,4 yr rate,    93.88%
2022,9,Bath County,On-Time Graduation Rate,4 yr rate,    97.30%
2022,10,Bedford County,On-Time Graduation Rate,4 yr rate,    93.33%
2022,11,Bland County,On-Time Graduation Rate,4 yr rate,    98.08%
2022,12,Botetourt County,On-Time Graduation Rate,4 yr rate,    94.71%
2022,102,Bristol City,On-Time Graduation Rate,4 yr rate,    88.62%
2022,13,Brunswick County,On-Time Graduation Rate,4 yr rate,    89.26%
2022,14,Buchanan County,On-Time Graduation Rate,4 yr rate,    91.22%
2022,15,Buckingham County,On-Time Graduation Rate,4 yr rate,    91.91%
2022,103,Buena Vista City,On-Time Graduation Rate,4 yr rate,    88.31%
2022,16,Campbell County,On-Time Graduation Rate,4 yr rate,    92.75%
2022,17,Caroline County,On-Time Graduation Rate,4 yr rate,    87.59%
2022,18,Carroll County,On-Time Graduation Rate,4 yr rate,    93.28%
2022,19,Charles City County,On-Time Graduation Rate,4 yr rate,    93.94%
2022,20,Charlotte County,On-Time Graduation Rate,4 yr rate,    91.98%
2022,104,Charlottesville City,On-Time Graduation Rate,4 yr rate,    92.95%
2022,136,Chesapeake City,On-Time Graduation Rate,4 yr rate,    93.51%
2022,21,Chesterfield County,On-Time Graduation Rate,4 yr rate,    91.50%
2022,22,Clarke County,On-Time Graduation Rate,4 yr rate,    97.60%
2022,202,Colonial Beach,On-Time Graduation Rate,4 yr rate,    88.24%
2022,106,Colonial Heights City,On-Time Graduation Rate,4 yr rate,    88.15%
2022,107,Covington City,On-Time Graduation Rate,4 yr rate,    87.93%
2022,23,Craig County,On-Time Graduation Rate,4 yr rate,    80.00%
2022,24,Culpeper County,On-Time Graduation Rate,4 yr rate,    84.43%
2022,25,Cumberland County,On-Time Graduation Rate,4 yr rate,    91.25%
2022,108,Danville City,On-Time Graduation Rate,4 yr rate,    76.50%
2022,26,Dickenson County,On-Time Graduation Rate,4 yr rate,    90.41%
2022,27,Dinwiddie County,On-Time Graduation Rate,4 yr rate,    89.58%
2022,28,Essex County,On-Time Graduation Rate,4 yr rate,    93.64%
2022,29,Fairfax County,On-Time Graduation Rate,4 yr rate,    94.04%
2022,109,Falls Church City,On-Time Graduation Rate,4 yr rate,    98.65%
2022,30,Fauquier County,On-Time Graduation Rate,4 yr rate,    94.81%
2022,31,Floyd County,On-Time Graduation Rate,4 yr rate,    96.89%
2022,32,Fluvanna County,On-Time Graduation Rate,4 yr rate,    94.43%
2022,135,Franklin City,On-Time Graduation Rate,4 yr rate,    84.81%
2022,33,Franklin County,On-Time Graduation Rate,4 yr rate,    88.09%
2022,34,Frederick County,On-Time Graduation Rate,4 yr rate,    94.63%
2022,110,Fredericksburg City,On-Time Graduation Rate,4 yr rate,    84.89%
2022,111,Galax City,On-Time Graduation Rate,4 yr rate,    87.95%
2022,35,Giles County,On-Time Graduation Rate,4 yr rate,    89.83%
2022,36,Gloucester County,On-Time Graduation Rate,4 yr rate,    90.26%
2022,37,Goochland County,On-Time Graduation Rate,4 yr rate,    96.04%
2022,38,Grayson County,On-Time Graduation Rate,4 yr rate,   100.00%
2022,39,Greene County,On-Time Graduation Rate,4 yr rate,    94.74%
2022,40,Greensville County,On-Time Graduation Rate,4 yr rate,    79.11%
2022,41,Halifax County,On-Time Graduation Rate,4 yr rate,    83.43%
2022,112,Hampton City,On-Time Graduation Rate,4 yr rate,    97.64%
2022,42,Hanover County,On-Time Graduation Rate,4 yr rate,    95.16%
2022,113,Harrisonburg City,On-Time Graduation Rate,4 yr rate,    87.60%
2022,43,Henrico County,On-Time Graduation Rate,4 yr rate,    90.02%
2022,44,Henry County,On-Time Graduation Rate,4 yr rate,    86.96%
2022,45,Highland County,On-Time Graduation Rate,4 yr rate,    94.12%
2022,114,Hopewell City,On-Time Graduation Rate,4 yr rate,    89.85%
2022,46,Isle of Wight County,On-Time Graduation Rate,4 yr rate,    93.01%
2022,48,King George County,On-Time Graduation Rate,4 yr rate,    93.08%
2022,50,King William County,On-Time Graduation Rate,4 yr rate,    93.45%
2022,49,King and Queen County,On-Time Graduation Rate,4 yr rate,    91.11%
2022,51,Lancaster County,On-Time Graduation Rate,4 yr rate,    89.25%
2022,52,Lee County,On-Time Graduation Rate,4 yr rate,    86.96%
2022,137,Lexington City,On-Time Graduation Rate,4 yr rate,<
2022,53,Loudoun County,On-Time Graduation Rate,4 yr rate,    97.23%
2022,54,Louisa County,On-Time Graduation Rate,4 yr rate,    95.11%
2022,55,Lunenburg County,On-Time Graduation Rate,4 yr rate,    91.27%
2022,115,Lynchburg City,On-Time Graduation Rate,4 yr rate,    80.10%
2022,56,Madison County,On-Time Graduation Rate,4 yr rate,    93.33%
2022,143,Manassas City,On-Time Graduation Rate,4 yr rate,    82.44%
2022,144,Manassas Park City,On-Time Graduation Rate,4 yr rate,    88.89%
2022,116,Martinsville City,On-Time Graduation Rate,4 yr rate,    83.92%
2022,57,Mathews County,On-Time Graduation Rate,4 yr rate,    91.43%
2022,58,Mecklenburg County,On-Time Graduation Rate,4 yr rate,    89.03%
2022,59,Middlesex County,On-Time Graduation Rate,4 yr rate,   100.00%
2022,60,Montgomery County,On-Time Graduation Rate,4 yr rate,    95.42%
2022,62,Nelson County,On-Time Graduation Rate,4 yr rate,    91.55%
2022,63,New Kent County,On-Time Graduation Rate,4 yr rate,    93.85%
2022,117,Newport News City,On-Time Graduation Rate,4 yr rate,    95.76%
2022,118,Norfolk City,On-Time Graduation Rate,4 yr rate,    84.79%
2022,65,Northampton County,On-Time Graduation Rate,4 yr rate,    87.50%
2022,66,Northumberland County,On-Time Graduation Rate,4 yr rate,    96.04%
2022,119,Norton City,On-Time Graduation Rate,4 yr rate,    96.34%
2022,67,Nottoway County,On-Time Graduation Rate,4 yr rate,    83.11%
2022,68,Orange County,On-Time Graduation Rate,4 yr rate,    87.74%
2022,69,Page County,On-Time Graduation Rate,4 yr rate,    98.94%
2022,70,Patrick County,On-Time Graduation Rate,4 yr rate,    94.19%
2022,120,Petersburg City,On-Time Graduation Rate,4 yr rate,    85.65%
2022,71,Pittsylvania County,On-Time Graduation Rate,4 yr rate,    90.16%
2022,142,Poquoson City,On-Time Graduation Rate,4 yr rate,    92.49%
2022,121,Portsmouth City,On-Time Graduation Rate,4 yr rate,    84.48%
2022,72,Powhatan County,On-Time Graduation Rate,4 yr rate,    94.49%
2022,73,Prince Edward County,On-Time Graduation Rate,4 yr rate,    82.89%
2022,74,Prince George County,On-Time Graduation Rate,4 yr rate,    89.35%
2022,75,Prince William County,On-Time Graduation Rate,4 yr rate,    91.77%
2022,77,Pulaski County,On-Time Graduation Rate,4 yr rate,    92.56%
2022,122,Radford City,On-Time Graduation Rate,4 yr rate,    96.31%
2022,78,Rappahannock County,On-Time Graduation Rate,4 yr rate,    89.19%
2022,123,Richmond City,On-Time Graduation Rate,4 yr rate,    74.23%
2022,79,Richmond County,On-Time Graduation Rate,4 yr rate,    97.09%
2022,124,Roanoke City,On-Time Graduation Rate,4 yr rate,    87.01%
2022,80,Roanoke County,On-Time Graduation Rate,4 yr rate,    94.67%
2022,81,Rockbridge County,On-Time Graduation Rate,4 yr rate,    85.77%
2022,82,Rockingham County,On-Time Graduation Rate,4 yr rate,    94.47%
2022,83,Russell County,On-Time Graduation Rate,4 yr rate,    89.02%
2022,139,Salem City,On-Time Graduation Rate,4 yr rate,    94.29%
2022,84,Scott County,On-Time Graduation Rate,4 yr rate,    89.38%
2022,85,Shenandoah County,On-Time Graduation Rate,4 yr rate,    97.67%
2022,86,Smyth County,On-Time Graduation Rate,4 yr rate,    95.58%
2022,87,Southampton County,On-Time Graduation Rate,4 yr rate,    88.72%
2022,88,Spotsylvania County,On-Time Graduation Rate,4 yr rate,    90.50%
2022,89,Stafford County,On-Time Graduation Rate,4 yr rate,    94.66%
2022,126,Staunton City,On-Time Graduation Rate,4 yr rate,    90.05%
2022,127,Suffolk City,On-Time Graduation Rate,4 yr rate,    84.74%
2022,90,Surry County,On-Time Graduation Rate,4 yr rate,    96.15%
2022,91,Sussex County,On-Time Graduation Rate,4 yr rate,    85.54%
2022,92,Tazewell County,On-Time Graduation Rate,4 yr rate,    93.22%
2022,128,Virginia Beach City,On-Time Graduation Rate,4 yr rate,    94.98%
2022,93,Warren County,On-Time Graduation Rate,4 yr rate,    92.68%
2022,94,Washington County,On-Time Graduation Rate,4 yr rate,    93.36%
2022,130,Waynesboro City,On-Time Graduation Rate,4 yr rate,    88.53%
2022,207,West Point,On-Time Graduation Rate,4 yr rate,    93.42%
2022,95,Westmoreland County,On-Time Graduation Rate,4 yr rate,    96.69%
2022,131,Williamsburg-James City County,On-Time Graduation Rate,4 yr rate,    94.06%
2022,132,Winchester City,On-Time Graduation Rate,4 yr rate,    87.12%
2022,96,Wise County,On-Time Graduation Rate,4 yr rate,    96.41%
2022,97,Wythe County,On-Time Graduation Rate,4 yr rate,    93.24%
2022,98,York County,On-Time Graduation Rate,4 yr rate,    97.54%
2023,1,Accomack County,On-Time Graduation Rate,4 yr rate,    87.77%
2023,2,Albemarle County,On-Time Graduation Rate,4 yr rate,    93.98%
2023,101,Alexandria City,On-Time Graduation Rate,4 yr rate,    83.13%
2023,3,Alleghany Highlands,On-Time Graduation Rate,4 yr rate,    89.29%
2023,4,Amelia County,On-Time Graduation Rate,4 yr rate,    91.27%
2023,5,Amherst County,On-Time Graduation Rate,4 yr rate,    95.99%
2023,6,Appomattox County,On-Time Graduation Rate,4 yr rate,    90.68%
2023,7,Arlington County,On-Time Graduation Rate,4 yr rate,    93.52%
2023,8,Augusta County,On-Time Graduation Rate,4 yr rate,    93.95%
2023,9,Bath County,On-Time Graduation Rate,4 yr rate,    97.37%
2023,10,Bedford County,On-Time Graduation Rate,4 yr rate,    82.54%
2023,11,Bland County,On-Time Graduation Rate,4 yr rate,    98.46%
2023,12,Botetourt County,On-Time Graduation Rate,4 yr rate,    94.74%
2023,102,Bristol City,On-Time Graduation Rate,4 yr rate,    86.83%
2023,13,Brunswick County,On-Time Graduation Rate,4 yr rate,    88.07%
2023,14,Buchanan County,On-Time Graduation Rate,4 yr rate,    89.89%
2023,15,Buckingham County,On-Time Graduation Rate,4 yr rate,    90.67%
2023,103,Buena Vista City,On-Time Graduation Rate,4 yr rate,    91.03%
2023,16,Campbell County,On-Time Graduation Rate,4 yr rate,    93.86%
2023,17,Caroline County,On-Time Graduation Rate,4 yr rate,    90.71%
2023,18,Carroll County,On-Time Graduation Rate,4 yr rate,    94.37%
2023,19,Charles City County,On-Time Graduation Rate,4 yr rate,    91.07%
2023,20,Charlotte County,On-Time Graduation Rate,4 yr rate,    82.71%
2023,104,Charlottesville City,On-Time Graduation Rate,4 yr rate,    92.91%
2023,136,Chesapeake City,On-Time Graduation Rate,4 yr rate,    92.20%
2023,21,Chesterfield County,On-Time Graduation Rate,4 yr rate,    90.79%
2023,22,Clarke County,On-Time Graduation Rate,4 yr rate,    99.32%
2023,202,Colonial Beach,On-Time Graduation Rate,4 yr rate,    82.35%
2023,106,Colonial Heights City,On-Time Graduation Rate,4 yr rate,    88.98%
2023,23,Craig County,On-Time Graduation Rate,4 yr rate,    90.70%
2023,24,Culpeper County,On-Time Graduation Rate,4 yr rate,    86.87%
2023,25,Cumberland County,On-Time Graduation Rate,4 yr rate,    89.69%
2023,108,Danville City,On-Time Graduation Rate,4 yr rate,    73.28%
2023,26,Dickenson County,On-Time Graduation Rate,4 yr rate,    90.00%
2023,27,Dinwiddie County,On-Time Graduation Rate,4 yr rate,    90.64%
2023,28,Essex County,On-Time Graduation Rate,4 yr rate,    98.10%
2023,29,Fairfax County,On-Time Graduation Rate,4 yr rate,    93.38%
2023,109,Falls Church City,On-Time Graduation Rate,4 yr rate,    98.50%
2023,30,Fauquier County,On-Time Graduation Rate,4 yr rate,    96.29%
2023,31,Floyd County,On-Time Graduation Rate,4 yr rate,    94.41%
2023,32,Fluvanna County,On-Time Graduation Rate,4 yr rate,    94.37%
2023,135,Franklin City,On-Time Graduation Rate,4 yr rate,    90.12%
2023,33,Franklin County,On-Time Graduation Rate,4 yr rate,    90.39%
2023,34,Frederick County,On-Time Graduation Rate,4 yr rate,    93.40%
2023,110,Fredericksburg City,On-Time Graduation Rate,4 yr rate,    81.11%
2023,111,Galax City,On-Time Graduation Rate,4 yr rate,    88.89%
2023,35,Giles County,On-Time Graduation Rate,4 yr rate,    89.82%
2023,36,Gloucester County,On-Time Graduation Rate,4 yr rate,    90.63%
2023,37,Goochland County,On-Time Graduation Rate,4 yr rate,    96.54%
2023,38,Grayson County,On-Time Graduation Rate,4 yr rate,   100.00%
2023,39,Greene County,On-Time Graduation Rate,4 yr rate,    96.85%
2023,40,Greensville County,On-Time Graduation Rate,4 yr rate,    92.03%
2023,41,Halifax County,On-Time Graduation Rate,4 yr rate,    87.90%
2023,112,Hampton City,On-Time Graduation Rate,4 yr rate,    96.37%
2023,42,Hanover County,On-Time Graduation Rate,4 yr rate,    95.57%
2023,113,Harrisonburg City,On-Time Graduation Rate,4 yr rate,    89.17%
2023,43,Henrico County,On-Time Graduation Rate,4 yr rate,    90.67%
2023,44,Henry County,On-Time Graduation Rate,4 yr rate,    85.19%
2023,45,Highland County,On-Time Graduation Rate,4 yr rate,    92.86%
2023,114,Hopewell City,On-Time Graduation Rate,4 yr rate,    89.67%
2023,46,Isle of Wight County,On-Time Graduation Rate,4 yr rate,    93.95%
2023,48,King George County,On-Time Graduation Rate,4 yr rate,    91.99%
2023,50,King William County,On-Time Graduation Rate,4 yr rate,    92.31%
2023,49,King and Queen County,On-Time Graduation Rate,4 yr rate,    90.24%
2023,51,Lancaster County,On-Time Graduation Rate,4 yr rate,    97.78%
2023,52,Lee County,On-Time Graduation Rate,4 yr rate,    84.42%
2023,53,Loudoun County,On-Time Graduation Rate,4 yr rate,    96.71%
2023,54,Louisa County,On-Time Graduation Rate,4 yr rate,    94.63%
2023,55,Lunenburg County,On-Time Graduation Rate,4 yr rate,    94.21%
2023,115,Lynchburg City,On-Time Graduation Rate,4 yr rate,    82.62%
2023,56,Madison County,On-Time Graduation Rate,4 yr rate,    90.14%
2023,143,Manassas City,On-Time Graduation Rate,4 yr rate,    89.50%
2023,144,Manassas Park City,On-Time Graduation Rate,4 yr rate,    84.64%
2023,116,Martinsville City,On-Time Graduation Rate,4 yr rate,    84.78%
2023,57,Mathews County,On-Time Graduation Rate,4 yr rate,    94.29%
2023,58,Mecklenburg County,On-Time Graduation Rate,4 yr rate,    86.31%
2023,59,Middlesex County,On-Time Graduation Rate,4 yr rate,    97.53%
2023,60,Montgomery County,On-Time Graduation Rate,4 yr rate,    95.45%
2023,62,Nelson County,On-Time Graduation Rate,4 yr rate,    90.08%
2023,63,New Kent County,On-Time Graduation Rate,4 yr rate,    92.57%
2023,117,Newport News City,On-Time Graduation Rate,4 yr rate,    94.27%
2023,118,Norfolk City,On-Time Graduation Rate,4 yr rate,    81.94%
2023,65,Northampton County,On-Time Graduation Rate,4 yr rate,    91.00%
2023,66,Northumberland County,On-Time Graduation Rate,4 yr rate,    94.50%
2023,119,Norton City,On-Time Graduation Rate,4 yr rate,    98.51%
2023,67,Nottoway County,On-Time Graduation Rate,4 yr rate,    85.00%
2023,68,Orange County,On-Time Graduation Rate,4 yr rate,    92.24%
2023,69,Page County,On-Time Graduation Rate,4 yr rate,    93.84%
2023,70,Patrick County,On-Time Graduation Rate,4 yr rate,    95.86%
2023,120,Petersburg City,On-Time Graduation Rate,4 yr rate,    88.66%
2023,71,Pittsylvania County,On-Time Graduation Rate,4 yr rate,    90.44%
2023,142,Poquoson City,On-Time Graduation Rate,4 yr rate,    93.26%
2023,121,Portsmouth City,On-Time Graduation Rate,4 yr rate,    83.75%
2023,72,Powhatan County,On-Time Graduation Rate,4 yr rate,    91.51%
2023,73,Prince Edward County,On-Time Graduation Rate,4 yr rate,    80.25%
2023,74,Prince George County,On-Time Graduation Rate,4 yr rate,    93.32%
2023,75,Prince William County,On-Time Graduation Rate,4 yr rate,    91.69%
2023,77,Pulaski County,On-Time Graduation Rate,4 yr rate,    95.90%
2023,122,Radford City,On-Time Graduation Rate,4 yr rate,    96.79%
2023,78,Rappahannock County,On-Time Graduation Rate,4 yr rate,    92.86%
2023,123,Richmond City,On-Time Graduation Rate,4 yr rate,    72.45%
2023,79,Richmond County,On-Time Graduation Rate,4 yr rate,    96.94%
2023,124,Roanoke City,On-Time Graduation Rate,4 yr rate,    86.41%
2023,80,Roanoke County,On-Time Graduation Rate,4 yr rate,    95.73%
2023,81,Rockbridge County,On-Time Graduation Rate,4 yr rate,    94.07%
2023,82,Rockingham County,On-Time Graduation Rate,4 yr rate,    94.40%
2023,83,Russell County,On-Time Graduation Rate,4 yr rate,    86.64%
2023,139,Salem City,On-Time Graduation Rate,4 yr rate,    93.58%
2023,84,Scott County,On-Time Graduation Rate,4 yr rate,    92.25%
2023,85,Shenandoah County,On-Time Graduation Rate,4 yr rate,    97.47%
2023,86,Smyth County,On-Time Graduation Rate,4 yr rate,    96.50%
2023,87,Southampton County,On-Time Graduation Rate,4 yr rate,    88.82%
2023,88,Spotsylvania County,On-Time Graduation Rate,4 yr rate,    90.52%
2023,89,Stafford County,On-Time Graduation Rate,4 yr rate,    93.49%
2023,126,Staunton City,On-Time Graduation Rate,4 yr rate,    85.20%
2023,127,Suffolk City,On-Time Graduation Rate,4 yr rate,    88.19%
2023,90,Surry County,On-Time Graduation Rate,4 yr rate,    93.22%
2023,91,Sussex County,On-Time Graduation Rate,4 yr rate,    87.67%
2023,92,Tazewell County,On-Time Graduation Rate,4 yr rate,    94.35%
2023,128,Virginia Beach City,On-Time Graduation Rate,4 yr rate,    95.34%
2023,93,Warren County,On-Time Graduation Rate,4 yr rate,    92.69%
2023,94,Washington County,On-Time Graduation Rate,4 yr rate,    92.72%
2023,130,Waynesboro City,On-Time Graduation Rate,4 yr rate,    83.33%
2023,207,West Point,On-Time Graduation Rate,4 yr rate,    93.55%
2023,95,Westmoreland County,On-Time Graduation Rate,4 yr rate,    90.99%
2023,131,Williamsburg-James City County,On-Time Graduation Rate,4 yr rate,    92.74%
2023,132,Winchester City,On-Time Graduation Rate,4 yr rate,    90.96%
2023,96,Wise County,On-Time Graduation Rate,4 yr rate,    98.27%
2023,97,Wythe County,On-Time Graduation Rate,4 yr rate,    96.17%
2023,98,York County,On-Time Graduation Rate,4 yr rate,    98.04%
